Date,Close/Last,Volume,Open,High,Low
04/13/2021,$35.28,53899,$35.12,$35.61,$34.96
04/12/2021,$35.23,43152,$35.13,$35.3421,$34.87
04/09/2021,$35.22,52645,$35.38,$35.422,$35.0881
04/08/2021,$35.32,116196,$35.75,$35.79,$34.907
04/07/2021,$35.76,83250,$36.55,$36.68,$35.565
04/06/2021,$36.66,66085,$36.65,$36.93,$36.35
04/05/2021,$36.53,114030,$36.58,$36.8507,$36.2
04/01/2021,$36.14,111371,$35.27,$36.34,$35.1
03/31/2021,$35.19,221791,$35.35,$36.48,$34.98
03/30/2021,$35.11,87146,$35.19,$35.68,$34.95
03/29/2021,$35.1,83276,$34.96,$35.5699,$34.91
03/26/2021,$35.24,54092,$35.12,$35.29,$34.67
03/25/2021,$34.94,75727,$34.39,$35.06,$33.7087
03/24/2021,$34.65,119027,$35.79,$36.1641,$34.55
03/23/2021,$35.38,111473,$36.24,$36.52,$35.27
03/22/2021,$36.55,113037,$36.95,$37.13,$36.1
03/19/2021,$36.82,391576,$36.82,$38.22,$36.73
03/18/2021,$36.81,91270,$36.12,$36.96,$36.12
03/17/2021,$36.27,66092,$36.23,$36.52,$35.5838
03/16/2021,$36.05,72223,$36.42,$36.5,$35.55
03/15/2021,$36.48,114244,$36,$36.48,$35.2
03/12/2021,$36.14,117505,$36.75,$36.86,$36.08
03/11/2021,$36.52,120861,$36.72,$36.9377,$36.35
03/10/2021,$36.79,102226,$35.9,$36.84,$35.865
03/09/2021,$35.79,114366,$36.33,$36.33,$35.69
03/08/2021,$36.06,129411,$34.95,$36.34,$34.53
03/05/2021,$34.06,114940,$33.58,$34.12,$32.78
03/04/2021,$33.23,107313,$33.65,$33.96,$33.06
03/03/2021,$33.88,71712,$33.99,$34.2499,$33.45
03/02/2021,$33.65,80300,$34.11,$34.41,$33.3684
03/01/2021,$34.17,77820,$33.55,$34.18,$33.55
02/26/2021,$32.96,151256,$33.05,$33.51,$32.71
02/25/2021,$33.27,80206,$33.85,$33.995,$33.13
02/24/2021,$33.86,104642,$33.8,$34.12,$33.525
02/23/2021,$33.8,147779,$34.34,$34.83,$33.74
02/22/2021,$34.7,120398,$34.13,$35.235,$34.13
